SEF	1.0.0
ID	Bahía_Blanca
Name	Bahía Blanca
Lat	-38.717
Lon	-62.267
Alt	13.4
Source	UTN_ACRE
Link	NA
Vbl	dd
Stat	point
Units	deg
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1860	1	1	18	0	0	270	
1860	1	1	12	0	0	135	
1860	1	1	6	0	0	135	
1860	1	2	18	0	0	225	
1860	1	2	12	0	0	270	
1860	1	2	6	0	0	180	
1860	1	3	18	0	0	SF	
1860	1	3	12	0	0	270	
1860	1	3	6	0	0	270	
1860	1	4	18	0	0	270	
1860	1	4	12	0	0	315	
1860	1	4	6	0	0	315	
1860	1	5	18	0	0	270	
1860	1	5	12	0	0	270	
1860	1	5	6	0	0	270	
1860	1	6	18	0	0	135	
1860	1	6	12	0	0	225	
1860	1	6	6	0	0	270	
1860	1	7	18	0	0	135	
1860	1	7	12	0	0	135	
1860	1	7	6	0	0	225	
1860	1	8	18	0	0	135	
1860	1	8	12	0	0	135	
1860	1	8	6	0	0	90	
1860	1	9	18	0	0	0	
1860	1	9	12	0	0	270	
1860	1	9	6	0	0	315	
1860	1	10	18	0	0	315	
1860	1	10	12	0	0	315	
1860	1	10	6	0	0	0	
1860	1	11	18	0	0	270	
1860	1	11	12	0	0	270	
1860	1	11	6	0	0	270	
1860	1	12	18	0	0	0	
1860	1	12	12	0	0	315	
1860	1	12	6	0	0	0	
1860	1	13	18	0	0	315	
1860	1	13	12	0	0	225	
1860	1	13	6	0	0	225	
1860	1	14	NA	NA	0		
1860	1	14	18	0	0	135	
1860	1	14	12	0	0	225	
1860	1	14	6	0	0	135	
1860	1	15	18	0	0	135	
1860	1	15	12	0	0	225	
1860	1	15	6	0	0	315	
1860	1	16	18	0	0	315	
1860	1	16	12	0	0	225	
1860	1	16	6	0	0	270	
1860	1	17	18	0	0	135	
1860	1	17	12	0	0	315	
1860	1	17	6	0	0	315	
1860	1	18	18	0	0	315	
1860	1	18	12	0	0	315	
1860	1	18	6	0	0	0	
1860	1	19	18	0	0	0	
1860	1	19	12	0	0	0	
1860	1	19	6	0	0	315	
1860	1	20	18	0	0	315	
1860	1	20	12	0	0	315	
1860	1	20	6	0	0	0	
1860	1	21	18	0	0	315	
1860	1	21	12	0	0	315	
1860	1	21	6	0	0	315	
1860	1	22	18	0	0	135	
1860	1	22	12	0	0	135	
1860	1	22	6	0	0	315	
1860	1	23	18	0	0	135	
1860	1	23	12	0	0	135	
1860	1	23	6	0	0	90	
1860	1	24	18	0	0	0	
1860	1	24	12	0	0	315	
1860	1	24	6	0	0	45	
1860	1	25	18	0	0	315	
1860	1	25	12	0	0	315	
1860	1	25	6	0	0	0	
1860	1	26	18	0	0	90	
1860	1	26	12	0	0	135	
1860	1	26	6	0	0	315	
1860	1	27	18	0	0	315	
1860	1	27	12	0	0	315	
1860	1	27	6	0	0	0	
1860	1	28	18	0	0	225	
1860	1	28	12	0	0	270	
1860	1	28	6	0	0	270	
1860	1	29	18	0	0	135	
1860	1	29	12	0	0	135	
1860	1	29	6	0	0	135	
1860	1	30	18	0	0	315	
1860	1	30	12	0	0	45	
1860	1	30	6	0	0	0	
1860	1	31	18	0	0	0	
1860	1	31	12	0	0	270	
1860	1	31	6	0	0	315	
1860	2	1	18	0	0	45	
1860	2	1	12	0	0	315	
1860	2	1	6	0	0	0	
1860	2	2	18	0	0	90	
1860	2	2	12	0	0	270	
1860	2	2	6	0	0	315	
1860	2	3	18	0	0	315	
1860	2	3	12	0	0	315	
1860	2	3	6	0	0	315	
1860	2	4	18	0	0	135	
1860	2	4	12	0	0	135	
1860	2	4	6	0	0	270	
1860	2	5	18	0	0	135	
1860	2	5	12	0	0	270	
1860	2	5	6	0	0	135	
1860	2	6	18	0	0	225	
1860	2	6	12	0	0	270	
1860	2	6	6	0	0	315	
1860	2	7	18	0	0	315	
1860	2	7	12	0	0	315	
1860	2	7	6	0	0	315	
1860	2	8	18	0	0	315	
1860	2	8	12	0	0	315	
1860	2	8	6	0	0	315	
1860	2	9	18	0	0	225	
1860	2	9	12	0	0	225	
1860	2	9	6	0	0	315	
1860	2	10	18	0	0	225	
1860	2	10	12	0	0	270	
1860	2	10	6	0	0	270	
1860	2	11	18	0	0	270	
1860	2	11	12	0	0	225	
1860	2	11	6	0	0	315	
1860	2	12	18	0	0	225	
1860	2	12	12	0	0	315	
1860	2	12	6	0	0	0	
1860	2	13	18	0	0	135	
1860	2	13	12	0	0	315	
1860	2	13	6	0	0	270	
1860	2	14	18	0	0	NNW	
1860	2	14	12	0	0	315	
1860	2	14	6	0	0	315	
1860	2	15	18	0	0	315	
1860	2	15	12	0	0	315	
1860	2	15	6	0	0	NNW	
1860	2	16	18	0	0	315	
1860	2	16	12	0	0	315	
1860	2	16	6	0	0	0	
1860	2	17	18	0	0	0	
1860	2	17	12	0	0	315	
1860	2	17	6	0	0	315	
1860	2	18	18	0	0	135	
1860	2	18	12	0	0	135	
1860	2	18	6	0	0	135	
1860	2	19	18	0	0	315	
1860	2	19	12	0	0	45	
1860	2	19	6	0	0	45	
1860	2	20	18	0	0	SSE	
1860	2	20	12	0	0	135	
1860	2	20	6	0	0	315	
1860	2	21	18	0	0	NNE	
1860	2	21	12	0	0	SSE	
1860	2	21	6	0	0	SSE	
1860	2	22	18	0	0	NNE	
1860	2	22	12	0	0	SSE	
1860	2	22	6	0	0	225	
1860	2	23	NA	NA	0		
1860	2	23	18	0	0	135	
1860	2	23	12	0	0	0	
1860	2	23	6	0	0	0	
1860	2	24	18	0	0	315	
1860	2	24	12	0	0	NNW	
1860	2	24	6	0	0	NNW	
1860	2	25	18	0	0	270	
1860	2	25	12	0	0	NNW	
1860	2	25	6	0	0	0	
1860	2	26	18	0	0	180	
1860	2	26	12	0	0	SSE	
1860	2	26	6	0	0	225	
1860	2	27	18	0	0	90	
1860	2	27	12	0	0	225	
1860	2	27	6	0	0	270	
