SEF	1.0.0
ID	Bahía_Blanca
Name	Bahía Blanca
Lat	-38.717
Lon	-62.267
Alt	13.4
Source	UTN_ACRE
Link	NA
Vbl	p
Stat	point
Units	mm Hg
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1860	1	1	NA	NA	0	747.3	
1860	1	2	NA	NA	0	749.7	
1860	1	3	NA	NA	0	754.7	
1860	1	4	NA	NA	0	750.3	
1860	1	5	NA	NA	0	746.3	
1860	1	6	NA	NA	0	748.7	
1860	1	7	NA	NA	0	758.3	
1860	1	8	NA	NA	0	756.3	
1860	1	9	NA	NA	0	753.7	
1860	1	10	NA	NA	0	750	
1860	1	11	NA	NA	0	748.7	
1860	1	12	NA	NA	0	745.7	
1860	1	13	NA	NA	0	743.3	
1860	1	14	NA	NA	0	745.7	
1860	1	15	NA	NA	0	752.7	
1860	1	16	NA	NA	0	757.7	
1860	1	17	NA	NA	0	754.7	
1860	1	18	NA	NA	0	753.7	
1860	1	19	NA	NA	0	751	
1860	1	20	NA	NA	0	750	
1860	1	21	NA	NA	0	750	
1860	1	22	NA	NA	0	752	
1860	1	23	NA	NA	0	757	
1860	1	24	NA	NA	0	751	
1860	1	25	NA	NA	0	748.3	
1860	1	26	NA	NA	0	749	
1860	1	27	NA	NA	0	747.7	
1860	1	28	NA	NA	0	747	
1860	1	29	NA	NA	0	752.7	
1860	1	30	NA	NA	0	754	
1860	1	31	NA	NA	0	753.7	
1860	2	1	NA	NA	0	751.7	
1860	2	2	NA	NA	0	748.7	
1860	2	3	NA	NA	0	746.3	
1860	2	4	NA	NA	0	751.3	
1860	2	5	NA	NA	0	752.7	
1860	2	6	NA	NA	0	747	
1860	2	7	NA	NA	0	742.7	
1860	2	8	NA	NA	0	741.7	
1860	2	9	NA	NA	0	745.3	
1860	2	10	NA	NA	0	747.3	
1860	2	11	NA	NA	0	750.3	
1860	2	12	NA	NA	0	749.3	
1860	2	13	NA	NA	0	748	
1860	2	14	NA	NA	0	753	
1860	2	15	NA	NA	0	750.7	
1860	2	16	NA	NA	0	750	
1860	2	17	NA	NA	0	749	
1860	2	18	NA	NA	0	755.3	
1860	2	19	NA	NA	0	757	
1860	2	20	NA	NA	0	752	
1860	2	21	NA	NA	0	754.7	
1860	2	22	NA	NA	0	758.7	
1860	2	23	NA	NA	0	760.7	
1860	2	24	NA	NA	0	755	
1860	2	25	NA	NA	0	751	
1860	2	26	NA	NA	0	755	
1860	2	27	NA	NA	0	753.3	
1860	2	28	NA	NA	0	746.7	
1860	2	29	NA	NA	0	745.7	
1860	3	1	NA	NA	0	749	
1860	3	2	NA	NA	0	745.3	
1860	3	3	NA	NA	0	746	
1860	3	4	NA	NA	0	744	
1860	3	5	NA	NA	0	749.3	
1860	3	6	NA	NA	0	749.3	
1860	3	7	NA	NA	0	750	
1860	3	8	NA	NA	0	745	
1860	3	9	NA	NA	0	749.3	
1860	3	10	NA	NA	0	745.3	
1860	3	11	NA	NA	0	754	
1860	3	12	NA	NA	0	762	
1860	3	13	NA	NA	0	761	
1860	3	14	NA	NA	0	754.3	
1860	3	15	NA	NA	0	750	
1860	3	16	NA	NA	0	749.3	
1860	3	17	NA	NA	0	751	
1860	3	18	NA	NA	0	749.3	
1860	3	19	NA	NA	0	748	
1860	3	20	NA	NA	0	747	
1860	3	21	NA	NA	0	755.7	
1860	3	22	NA	NA	0	756.7	
1860	3	23	NA	NA	0	754.3	
1860	3	24	NA	NA	0	754.3	
1860	3	25	NA	NA	0	756	
1860	3	26	NA	NA	0	756.3	
1860	3	27	NA	NA	0	751	
1860	3	28	NA	NA	0	750	
1860	3	29	NA	NA	0	750	
1860	3	30	NA	NA	0	749.7	
1860	3	31	NA	NA	0	751.3	
1860	4	1	NA	NA	0	749.3	
1860	4	2	NA	NA	0	750.7	
1860	4	3	NA	NA	0	756.3	
1860	4	4	NA	NA	0	753.7	
1860	4	5	NA	NA	0	749.3	
1860	4	6	NA	NA	0	745	
1860	4	7	NA	NA	0	748.3	
1860	4	8	NA	NA	0	746	
1860	4	9	NA	NA	0	751.3	
1860	4	10	NA	NA	0	750	
1860	4	11	NA	NA	0	749.7	
1860	4	12	NA	NA	0	750	
1860	4	13	NA	NA	0	746.3	
1860	4	14	NA	NA	0	746.7	
1860	4	15	NA	NA	0	762	
1860	4	16	NA	NA	0	762.7	
1860	4	17	NA	NA	0	760.3	
1860	4	18	NA	NA	0	752.3	
1860	4	19	NA	NA	0	750	
1860	4	20	NA	NA	0	750.3	
1860	4	21	NA	NA	0	754	
1860	4	22	NA	NA	0	760.3	
1860	4	23	NA	NA	0	756.7	
1860	4	24	NA	NA	0	751	
1860	4	25	NA	NA	0	755.7	
1860	4	26	NA	NA	0	752.7	
1860	4	27	NA	NA	0	746.3	
1860	4	28	NA	NA	0	241	
1860	4	29	NA	NA	0	742.3	
1860	4	30	NA	NA	0	740.7	
1860	4	NA	NA	NA	0		
1860	5	1	NA	NA	0	749.7	
1860	5	2	NA	NA	0	751	
1860	5	3	NA	NA	0	756	
1860	5	4	NA	NA	0	759	
1860	5	5	NA	NA	0	750.3	
1860	5	6	NA	NA	0	747.3	
1860	5	7	NA	NA	0	751.7	
1860	5	8	NA	NA	0	758	
1860	5	9	NA	NA	0	756.3	
1860	5	10	NA	NA	0	751	
1860	5	11	NA	NA	0	750	
1860	5	12	NA	NA	0	755	
1860	5	13	NA	NA	0	754.3	
1860	5	14	NA	NA	0	758.3	
1860	5	15	NA	NA	0	754.7	
1860	5	16	NA	NA	0	752	
1860	5	17	NA	NA	0	751	
1860	5	18	NA	NA	0	750	
1860	5	19	NA	NA	0	751.7	
1860	5	20	NA	NA	0	756.7	
1860	5	21	NA	NA	0	758.3	
1860	5	22	NA	NA	0	756.7	
1860	5	23	NA	NA	0	756.3	
1860	5	24	NA	NA	0	756.7	
1860	5	25	NA	NA	0	757.3	
1860	5	26	NA	NA	0	749.7	
1860	5	27	NA	NA	0	748.7	
1860	5	28	NA	NA	0	742.3	
1860	5	29	NA	NA	0	751.7	
1860	5	30	NA	NA	0	752.7	
1860	5	31	NA	NA	0	746	
1860	6	1	NA	NA	0	750.7	
1860	6	2	NA	NA	0	754.3	
1860	6	3	NA	NA	0	751.7	
1860	6	4	NA	NA	0	751.7	
1860	6	5	NA	NA	0	751	
1860	6	6	NA	NA	0	752	
1860	6	7	NA	NA	0	756	
1860	6	8	NA	NA	0	759.3	
1860	6	9	NA	NA	0	753.7	
1860	6	10	NA	NA	0	750	
1860	6	11	NA	NA	0	751	
1860	6	12	NA	NA	0	749.3	
1860	6	13	NA	NA	0	747	
1860	6	14	NA	NA	0	751.3	
1860	6	15	NA	NA	0	755	
1860	6	16	NA	NA	0	755	
1860	6	17	NA	NA	0	754	
1860	6	18	NA	NA	0	746.7	
1860	6	19	NA	NA	0	750	
1860	6	20	NA	NA	0	750	
1860	6	21	NA	NA	0	747.7	
1860	6	22	NA	NA	0	752	
1860	6	23	NA	NA	0	746.3	
1860	6	24	NA	NA	0	746.3	
1860	6	25	NA	NA	0	754	
1860	6	26	NA	NA	0	761	
1860	6	27	NA	NA	0	762	
1860	6	28	NA	NA	0	762.3	
1860	6	29	NA	NA	0	762	
1860	6	30	NA	NA	0	762.3	
1860	6	NA	NA	NA	0		
1860	7	1	NA	NA	0	757.3	
1860	7	2	NA	NA	0	756	
1860	7	3	NA	NA	0	749.3	
1860	7	4	NA	NA	0	748.3	
1860	7	5	NA	NA	0	752	
1860	7	6	NA	NA	0	741.3	
1860	7	7	NA	NA	0	751.3	
1860	7	8	NA	NA	0	755.3	
1860	7	9	NA	NA	0	752.7	
1860	7	10	NA	NA	0	755	
1860	7	11	NA	NA	0	759	
1860	7	12	NA	NA	0	747.7	
1860	7	13	NA	NA	0	740.3	
1860	7	14	NA	NA	0	746	
1860	7	15	NA	NA	0	746.7	
1860	7	16	NA	NA	0	748.3	
1860	7	17	NA	NA	0	751	
1860	7	18	NA	NA	0	754	
1860	7	19	NA	NA	0	753.3	
1860	7	20	NA	NA	0	754	
1860	7	21	NA	NA	0	755	
1860	7	22	NA	NA	0	749.7	
1860	7	23	NA	NA	0	751	
1860	7	24	NA	NA	0	743.7	
1860	7	25	NA	NA	0	747	
1860	7	26	NA	NA	0	749	
1860	7	27	NA	NA	0	745	
1860	7	28	NA	NA	0	749.7	
1860	7	29	NA	NA	0	748.3	
1860	7	30	NA	NA	0	741.7	
1860	7	31	NA	NA	0	748	
1860	8	1	NA	NA	0	743.7	
1860	8	2	NA	NA	0	743	
1860	8	3	NA	NA	0	741.7	
1860	8	4	NA	NA	0	744.3	
1860	8	5	NA	NA	0	754.3	
1860	8	6	NA	NA	0	745.3	
1860	8	7	NA	NA	0	748.7	
1860	8	8	NA	NA	0	756.3	
1860	8	9	NA	NA	0	755.3	
1860	8	10	NA	NA	0	745	
1860	8	11	NA	NA	0	750.3	
1860	8	12	NA	NA	0	756	
1860	8	13	NA	NA	0	756	
1860	8	14	NA	NA	0	753.3	
1860	8	15	NA	NA	0	740.7	
1860	8	16	NA	NA	0	745.3	
1860	8	17	NA	NA	0	751.7	
1860	8	18	NA	NA	0	757.7	
1860	8	19	NA	NA	0	760.3	
1860	8	20	NA	NA	0	752.3	
1860	8	21	NA	NA	0	749.3	
1860	8	22	NA	NA	0	754	
1860	8	23	NA	NA	0	763	
1860	8	24	NA	NA	0	754	
1860	8	25	NA	NA	0	748.3	
1860	8	26	NA	NA	0	745	
1860	8	27	NA	NA	0	743	
1860	8	28	NA	NA	0	745	
1860	8	29	NA	NA	0	760.7	
1860	8	30	NA	NA	0	760.7	
1860	8	31	NA	NA	0	754.7	
1860	9	1	NA	NA	0	755	
1860	9	2	NA	NA	0	752.3	
1860	9	3	NA	NA	0	750	
1860	9	4	NA	NA	0	753.3	
1860	9	5	NA	NA	0	762.3	
1860	9	6	NA	NA	0	765.3	
1860	9	7	NA	NA	0	766	
1860	9	8	NA	NA	0	764.3	
1860	9	9	NA	NA	0	757	
1860	9	10	NA	NA	0	755	
1860	9	11	NA	NA	0	752	
1860	9	12	NA	NA	0	751.3	
1860	9	13	NA	NA	0	746.7	
1860	9	14	NA	NA	0	749	
1860	9	15	NA	NA	0	752.7	
1860	9	16	NA	NA	0	751.7	
1860	9	17	NA	NA	0	754.7	
1860	9	18	NA	NA	0	750.7	
1860	9	19	NA	NA	0	750	
1860	9	20	NA	NA	0	750.3	
1860	9	21	NA	NA	0	747.3	
1860	9	22	NA	NA	0	748.3	
1860	9	23	NA	NA	0	752	
1860	9	24	NA	NA	0	751	
1860	9	25	NA	NA	0	748.3	
1860	9	26	NA	NA	0	745.3	
1860	9	27	NA	NA	0	754	
1860	9	28	NA	NA	0	758.3	
1860	9	29	NA	NA	0	760.3	
1860	9	30	NA	NA	0	755.7	
1860	9	NA	NA	NA	0		
1860	10	1	NA	NA	0	748.3	
1860	10	2	NA	NA	0	750.3	
1860	10	3	NA	NA	0	758.3	
1860	10	4	NA	NA	0	764.3	
1860	10	5	NA	NA	0	761.7	
1860	10	6	NA	NA	0	758	
1860	10	7	NA	NA	0	758	
1860	10	8	NA	NA	0	752.3	
1860	10	9	NA	NA	0	747	
1860	10	10	NA	NA	0	751	
1860	10	11	NA	NA	0	762.7	
1860	10	12	NA	NA	0	762	
1860	10	13	NA	NA	0	754.3	
1860	10	14	NA	NA	0	751.3	
1860	10	15	NA	NA	0	749.3	
1860	10	16	NA	NA	0	750.3	
1860	10	17	NA	NA	0	753	
1860	10	18	NA	NA	0	750.7	
1860	10	19	NA	NA	0	749.3	
1860	10	20	NA	NA	0	750	
1860	10	21	NA	NA	0	747.7	
1860	10	22	NA	NA	0	751.7	
1860	10	23	NA	NA	0	751.3	
1860	10	24	NA	NA	0	762.3	
1860	10	25	NA	NA	0	762.3	
1860	10	26	NA	NA	0	754.7	
1860	10	27	NA	NA	0	750	
1860	10	28	NA	NA	0	750.7	
1860	10	29	NA	NA	0	749	
1860	10	30	NA	NA	0	747.3	
1860	10	31	NA	NA	0	748.3	
1860	11	1	NA	NA	0	749.3	
1860	11	2	NA	NA	0	758.3	
1860	11	3	NA	NA	0	753.7	
1860	11	4	NA	NA	0	747.7	
1860	11	5	NA	NA	0	748	
1860	11	6	NA	NA	0	752.3	
1860	11	7	NA	NA	0	760	
1860	11	8	NA	NA	0	759.3	
1860	11	9	NA	NA	0	755.3	
1860	11	10	NA	NA	0	755	
1860	11	11	NA	NA	0	750.3	
1860	11	12	NA	NA	0	753	
1860	11	13	NA	NA	0	752.3	
1860	11	14	NA	NA	0	747.3	
1860	11	15	NA	NA	0	751.3	
1860	11	16	NA	NA	0	751	
1860	11	17	NA	NA	0	749	
1860	11	18	NA	NA	0	754.7	
1860	11	19	NA	NA	0	754	
1860	11	20	NA	NA	0	752	
1860	11	21	NA	NA	0	753.7	
1860	11	22	NA	NA	0	751.7	
1860	11	23	NA	NA	0	752.7	
1860	11	24	NA	NA	0	751.7	
1860	11	25	NA	NA	0	749.3	
1860	11	26	NA	NA	0	750.7	
1860	11	27	NA	NA	0	743	
1860	11	28	NA	NA	0	750.3	
1860	11	29	NA	NA	0	748.7	
1860	11	30	NA	NA	0	750.7	
1860	11	NA	NA	NA	0		
1860	12	1	NA	NA	0	753.3	
1860	12	2	NA	NA	0	752	
1860	12	3	NA	NA	0	747	
1860	12	4	NA	NA	0	751.3	
1860	12	5	NA	NA	0	756.3	
1860	12	6	NA	NA	0	750.3	
1860	12	7	NA	NA	0	752.3	
1860	12	8	NA	NA	0	754.3	
1860	12	9	NA	NA	0	752	
1860	12	10	NA	NA	0	752.3	
1860	12	11	NA	NA	0	754	
1860	12	12	NA	NA	0	746.7	
1860	12	13	NA	NA	0	750.3	
1860	12	14	NA	NA	0	749	
1860	12	15	NA	NA	0	755.3	
1860	12	16	NA	NA	0	756.7	
1860	12	17	NA	NA	0	756	
1860	12	18	NA	NA	0	758	
1860	12	19	NA	NA	0	755.3	
1860	12	20	NA	NA	0	753.7	
1860	12	21	NA	NA	0	753.7	
1860	12	22	NA	NA	0	749.7	
1860	12	23	NA	NA	0	746.7	
1860	12	24	NA	NA	0	744	
1860	12	25	NA	NA	0	749.7	
1860	12	26	NA	NA	0	747.7	
1860	12	27	NA	NA	0	748.7	
1860	12	28	NA	NA	0	752	
1860	12	29	NA	NA	0	748	
1860	12	30	NA	NA	0	745.3	
1860	12	31	NA	NA	0	745.7	
1861	1	1	NA	NA	0	745.7	
1861	1	2	NA	NA	0	750	
1861	1	3	NA	NA	0	751.7	
1861	1	4	NA	NA	0	757.3	
1861	1	5	NA	NA	0	758.7	
1861	1	6	NA	NA	0	762.7	
1861	1	7	NA	NA	0	760.3	
1861	1	8	NA	NA	0	754.7	
1861	1	9	NA	NA	0	750.3	
1861	1	10	NA	NA	0	750	
1861	1	11	NA	NA	0	750.7	
1861	1	12	NA	NA	0	752.3	
1861	1	13	NA	NA	0	754	
1861	1	14	NA	NA	0	753	
1861	1	15	NA	NA	0	755	
1861	1	16	NA	NA	0	758.7	
1861	1	17	NA	NA	0	758.7	
1861	1	18	NA	NA	0	753.7	
1861	1	19	NA	NA	0	746	
1861	1	20	NA	NA	0	748.7	
1861	1	21	NA	NA	0	754	
1861	1	22	NA	NA	0	749	
1861	1	23	NA	NA	0	749	
1861	1	24	NA	NA	0	747.7	
1861	1	25	NA	NA	0	752.3	
1861	1	26	NA	NA	0	747.7	
1861	1	27	NA	NA	0	749.3	
1861	1	28	NA	NA	0	749.7	
1861	1	29	NA	NA	0	748.7	
1861	1	30	NA	NA	0	751	
