SEF	1.0.0
ID	Bahía_Blanca
Name	Bahía Blanca
Lat	-38.717
Lon	-62.267
Alt	13.4
Source	UTN_ACRE
Link	NA
Vbl	ta
Stat	point
Units	C
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1860	1	1	NA	NA	0	25.7	
1860	1	2	NA	NA	0	21.7	
1860	1	3	NA	NA	0	19	
1860	1	4	NA	NA	0	25.7	
1860	1	5	NA	NA	0	29.7	
1860	1	6	NA	NA	0	25	
1860	1	7	NA	NA	0	17.7	
1860	1	8	NA	NA	0	20.3	
1860	1	9	NA	NA	0	20.3	
1860	1	10	NA	NA	0	25.7	
1860	1	11	NA	NA	0	26.7	
1860	1	12	NA	NA	0	27	
1860	1	13	NA	NA	0	27	
1860	1	14	NA	NA	0	23.3	
1860	1	15	NA	NA	0	17.7	
1860	1	16	NA	NA	0	20.3	
1860	1	17	NA	NA	0	26.7	
1860	1	18	NA	NA	0	28.3	
1860	1	19	NA	NA	0	30	
1860	1	20	NA	NA	0	32.700000000000003	
1860	1	21	NA	NA	0	32	
1860	1	22	NA	NA	0	24.3	
1860	1	23	NA	NA	0	22.7	
1860	1	24	NA	NA	0	27.7	
1860	1	25	NA	NA	0	30.3	
1860	1	26	NA	NA	0	25.3	
1860	1	27	NA	NA	0	27.3	
1860	1	28	NA	NA	0	27.3	
1860	1	29	NA	NA	0	22	
1860	1	30	NA	NA	0	26.3	
1860	1	31	NA	NA	0	27.7	
1860	2	1	NA	NA	0	29	
1860	2	2	NA	NA	0	30.3	
1860	2	3	NA	NA	0	32	
1860	2	4	NA	NA	0	23.7	
1860	2	5	NA	NA	0	20	
1860	2	6	NA	NA	0	27	
1860	2	7	NA	NA	0	28	
1860	2	8	NA	NA	0	24.7	
1860	2	9	NA	NA	0	20.7	
1860	2	10	NA	NA	0	21.3	
1860	2	11	NA	NA	0	21.3	
1860	2	12	NA	NA	0	27	
1860	2	13	NA	NA	0	23.3	
1860	2	14	NA	NA	0	25	
1860	2	15	NA	NA	0	28.3	
1860	2	16	NA	NA	0	28.7	
1860	2	17	NA	NA	0	27.3	
1860	2	18	NA	NA	0	20.7	
1860	2	19	NA	NA	0	15.7	
1860	2	20	NA	NA	0	20.3	
1860	2	21	NA	NA	0	19.7	
1860	2	22	NA	NA	0	20	
1860	2	23	NA	NA	0	18.7	
1860	2	24	NA	NA	0	21	
1860	2	25	NA	NA	0	20.7	
1860	2	26	NA	NA	0	14.3	
1860	2	27	NA	NA	0	18	
1860	2	28	NA	NA	0	21	
1860	2	29	NA	NA	0	23	
1860	3	1	NA	NA	0	23	
1860	3	2	NA	NA	0	21	
1860	3	3	NA	NA	0	19.3	
1860	3	4	NA	NA	0	19.3	
1860	3	5	NA	NA	0	17.7	
1860	3	6	NA	NA	0	18.3	
1860	3	7	NA	NA	0	17.7	
1860	3	8	NA	NA	0	20.7	
1860	3	9	NA	NA	0	21.3	
1860	3	10	NA	NA	0	21	
1860	3	11	NA	NA	0	15.3	
1860	3	12	NA	NA	0	13	
1860	3	13	NA	NA	0	12.7	
1860	3	14	NA	NA	0	16.7	
1860	3	15	NA	NA	0	22.3	
1860	3	16	NA	NA	0	20	
1860	3	17	NA	NA	0	19	
1860	3	18	NA	NA	0	17.3	
1860	3	19	NA	NA	0	15	
1860	3	20	NA	NA	0	15	
1860	3	21	NA	NA	0	13.7	
1860	3	22	NA	NA	0	13.7	
1860	3	23	NA	NA	0	17.7	
1860	3	24	NA	NA	0	16	
1860	3	25	NA	NA	0	18	
1860	3	26	NA	NA	0	21.3	
1860	3	27	NA	NA	0	22.3	
1860	3	28	NA	NA	0	22.7	
1860	3	29	NA	NA	0	20	
1860	3	30	NA	NA	0	20	
1860	3	31	NA	NA	0	17.3	
1860	4	1	NA	NA	0	20	
1860	4	2	NA	NA	0	20	
1860	4	3	NA	NA	0	17.3	
1860	4	4	NA	NA	0	20	
1860	4	5	NA	NA	0	15.7	
1860	4	6	NA	NA	0	16	
1860	4	7	NA	NA	0	15	
1860	4	8	NA	NA	0	20.7	
1860	4	9	NA	NA	0	16	
1860	4	10	NA	NA	0	18	
1860	4	11	NA	NA	0	22.3	
1860	4	12	NA	NA	0	24.3	
1860	4	13	NA	NA	0	22.3	
1860	4	14	NA	NA	0	14.7	
1860	4	15	NA	NA	0	9.3000000000000007	
